Employee_Name,EmpID,EmpStatusID,DeptID,PerfScoreID,Salary,Termd,PositionID,Position,Hiring location,Zip,DOB,Sex,MaritalDesc,Citizenship,DateofJoining,DateofTermination,TermReason,EmploymentStatus,Training hours,Trainings,Cost of training ,Department,ManagerName,ManagerID,Recruitment Source,PerformanceScore,EngagementSurvey,Employee rating,LastPerformanceReview_Date,DaysLateLast30,Absences,EmpType,OTHours
"Meads, Elizabeth",10128,5,5,3,62659,1,19,Production Technician I,MA,1760,05-08-1968,Female,Single,US Citizen,04-02-2012,11-11-2016,Another position,Voluntarily Terminated,2,Manufacturing,2500,Production       ,Kelley Spirea,18,Diversity Job Fair,Fully Meets,4.18,4,02-05-2016,0,17,Permanent,1
"Medeiros, Jennifer",10068,1,5,3,55688,0,19,Production Technician I,MA,2346,09-02-1976,Female,Single,US Citizen,3-30-2015,,N/A-StillEmployed,Active,3,Equipment knowledge,1500,Production       ,Michael Albert,22,CareerBuilder,Fully Meets,5,4,1/21/2019,0,10,Permanent,3
"Miller, Brannon",10116,1,5,3,83667,0,18,Production Manager,MA,2045,08-10-1981,Male ,Single,US Citizen,8-16-2012,,N/A-StillEmployed,Active,2,Manufacturing,2500,Production       ,Janet King,2,Indeed,Fully Meets,4.37,3,1/14/2019,0,2,Permanent,4
"Miller, Ned",10298,5,5,1,55800,1,20,Production Technician II,MA,2472,06-03-1985,Male ,Single,US Citizen,08-01-2011,09-04-2014,unhappy,Voluntarily Terminated,3,Equipment knowledge,1500,Production       ,Brannon Miller,12,LinkedIn,PIP,3,2,1/14/2013,6,6,Permanent,1
"Monkfish, Erasumus",10213,1,5,3,58207,0,20,Production Technician II,MA,1450,08-06-1992,Male ,Married,US Citizen,11-07-2011,,N/A-StillEmployed,Active,2,Manufacturing,2500,Production       ,David Stanley,14,LinkedIn,Fully Meets,3.7,3,01-08-2019,0,14,Permanent,2
"Monroe, Peter",10288,1,3,2,157000,0,13,IT Manager - Infra,MA,2134,10-05-1986,Male ,Married,Eligible NonCitizen,2-15-2012,,N/A-StillEmployed,Active,4,python ,2000,IT/IS,Jennifer Zamora,5,Diversity Job Fair,Needs Improvement,2.39,3,2/22/2019,4,13,contractor,3
"Monterro, Luisa",10025,1,5,4,72460,0,20,Production Technician II,MA,2126,04-03-1970,Female,Single,US Citizen,5-13-2013,,N/A-StillEmployed,Active,2,Manufacturing,2500,Production       ,Kissy Sullivan,20,Indeed,Exceeds,4.7,3,1/14/2019,0,1,contractor,2
"Moran, Patrick",10223,3,5,3,72106,0,20,Production Technician II,MA,2127,12-03-1976,Male ,Single,US Citizen,01-09-2012,,N/A-StillEmployed,Active,3,Equipment knowledge,1500,Production       ,Kelley Spirea,18,Diversity Job Fair,Fully Meets,4.1,4,1/31/2019,0,12,contractor,3
"Morway, Tanya",10151,1,3,3,52599,0,15,Network Engineer,MA,2048,04-04-1979,Female,Married,US Citizen,2-16-2015,,N/A-StillEmployed,Active,4,python ,2000,IT/IS,Peter Monroe,7,CareerBuilder,Fully Meets,3.81,3,02-11-2019,0,6,Permanent,3
"Motlagh,  Dawn",10254,1,5,3,63430,0,19,Production Technician I,MA,2453,07-07-1984,Female,Divorced,US Citizen,04-01-2013,,N/A-StillEmployed,Active,2,Manufacturing,2500,Production       ,Elijiah Gray,16,LinkedIn,Fully Meets,4.4,4,1/17/2019,0,18,Permanent,2
"Moumanil, Maliki ",10120,1,5,3,74417,0,20,Production Technician II,MA,1460,12-01-1974,Male ,Separated,US Citizen,5-13-2013,,N/A-StillEmployed,Active,3,Equipment knowledge,1500,Production       ,Michael Albert,22,LinkedIn,Fully Meets,4.29,5,1/28/2019,0,11,Permanent,1
"Myers, Michael",10216,1,5,3,57575,0,19,Production Technician I,MA,1550,04-07-1980,Male ,Single,US Citizen,07-08-2013,,N/A-StillEmployed,Active,2,Manufacturing,2500,Production       ,Kissy Sullivan,20,LinkedIn,Fully Meets,4.1,4,1/22/2019,0,13,Permanent,3
"Navathe, Kurt",10079,1,3,3,87921,0,22,Senior BI Developer,MA,2056,04-06-1970,Male ,Single,US Citizen,02-10-2017,,N/A-StillEmployed,Active,4,python ,2000,IT/IS,Brian Champaigne,13,Indeed,Fully Meets,5,3,2/25/2019,0,17,Permanent,4
"Ndzi, Colombui",10215,5,5,3,50470,1,19,Production Technician I,MA,2110,05-02-1989,Male ,Single,US Citizen,9-26-2011,04-04-2014,return to school,Voluntarily Terminated,2,Manufacturing,2500,Production       ,Webster Butler,39,Diversity Job Fair,Fully Meets,4.3,3,03-02-2013,0,19,contractor,1
"Ndzi, Horia",10185,5,5,3,46664,1,19,Production Technician I,MA,2421,03-10-1983,Male ,Married,US Citizen,04-01-2013,5/25/2016,more money,Voluntarily Terminated,2,Manufacturing,2500,Production       ,Amy Dunn,11,Employee Referral,Fully Meets,3.18,3,03-06-2016,0,10,contractor,2
"Newman, Richard ",10063,3,5,3,48495,0,19,Production Technician I,MA,2136,04-08-1977,Male ,Married,US Citizen,05-12-2014,,N/A-StillEmployed,Active,3,Equipment knowledge,1500,Production       ,Ketsia Liebig,19,LinkedIn,Fully Meets,5,5,2/18/2019,0,11,contractor,3
"Ngodup, Shari ",10037,1,5,4,52984,0,19,Production Technician I,MA,1810,06-03-1967,Female,Separated,US Citizen,04-01-2013,,N/A-StillEmployed,Active,2,Manufacturing,2500,Production       ,Brannon Miller,12,Diversity Job Fair,Exceeds,4,3,2/13/2019,0,12,Permanent,4
"Nguyen, Dheepa",10042,1,6,3,63695,0,3,Area Sales Manager,GA,30428,03-11-1989,Female,Single,US Citizen,07-08-2013,,N/A-StillEmployed,Active,4,customer relationship,2500,Sales,Lynn Daneault,21,Indeed,Fully Meets,5,5,1/25/2019,0,2,contractor,2
"Nguyen, Lei-Ming",10206,1,5,3,62061,0,19,Production Technician I,MA,2132,07-07-1984,Female,Single,US Citizen,07-08-2013,,N/A-StillEmployed,Active,2,Manufacturing,2500,Production       ,David Stanley,14,LinkedIn,Fully Meets,3.6,5,01-02-2019,0,4,Permanent,3
"Nowlan, Kristie",10104,1,5,3,66738,0,20,Production Technician II,MA,1040,11-10-1985,Female,Single,US Citizen,11-10-2014,,N/A-StillEmployed,Active,3,Equipment knowledge,1500,Production       ,Elijiah Gray,16,Indeed,Fully Meets,4.53,5,1/16/2019,0,5,Permanent,3
"O'hare, Lynn",10303,4,5,1,52674,1,19,Production Technician I,MA,2152,09-08-1980,Female,Single,US Citizen,3-31-2014,05-01-2018,performance,Terminated for Cause,3,Equipment knowledge,1500,Production       ,Kissy Sullivan,20,LinkedIn,PIP,2.33,2,03-09-2018,6,3,contractor,2
"Oliver, Brooke ",10078,5,5,3,71966,1,20,Production Technician II,MA,2492,02-11-1952,Female,Married,US Citizen,5-14-2012,8/19/2013,unhappy,Voluntarily Terminated,3,Equipment knowledge,1500,Production       ,Webster Butler,39,LinkedIn,Fully Meets,5,3,07-02-2013,0,17,contractor,1
"Onque, Jasmine",10121,1,6,3,63051,0,3,Area Sales Manager,FL,33174,05-11-1990,Female,Single,US Citizen,9-30-2013,,N/A-StillEmployed,Active,4,customer relationship,2500,Sales,Lynn Daneault,21,Indeed,Fully Meets,4.28,3,1/25/2019,0,1,contractor,3
"Osturnka, Adeel",10021,1,5,4,47414,0,19,Production Technician I,MA,2478,12-11-1976,Male ,Married,US Citizen,9-30-2013,,N/A-StillEmployed,Active,3,Equipment knowledge,1500,Production       ,Kelley Spirea,18,LinkedIn,Exceeds,5,3,02-07-2019,0,13,contractor,2
"Owad, Clinton",10281,1,5,2,53060,0,19,Production Technician I,MA,1760,11-03-1979,Male ,Single,US Citizen,2-17-2014,,N/A-StillEmployed,Active,3,Equipment knowledge,1500,Production       ,Michael Albert,22,LinkedIn,Needs Improvement,4.25,3,02-04-2019,4,6,Permanent,2
"Ozark, Travis",10041,1,6,3,68829,0,3,Area Sales Manager,NC,27229,05-09-1982,Male ,Single,US Citizen,01-05-2015,,N/A-StillEmployed,Active,4,customer relationship,2500,Sales,John Smith,17,Website,Fully Meets,5,5,1/14/2019,0,18,Permanent,3
"Panjwani, Nina",10148,5,5,3,63515,1,19,Production Technician I,MA,2351,05-01-1979,Female,Married,US Citizen,02-07-2011,01-12-2014,Another position,Voluntarily Terminated,3,Equipment knowledge,1500,Production       ,Elijiah Gray,16,Google Search,Fully Meets,3.89,4,03-04-2013,0,7,Permanent,3
"Patronick, Lucas",10005,5,4,4,108987,1,24,Software Engineer,MA,1844,02-10-1979,Male ,Single,US Citizen,11-07-2011,09-07-2015,Another position,Voluntarily Terminated,3,Bigdata,2500,Software Engineering,Alex Sweetwater,10,Diversity Job Fair,Exceeds,5,5,8/16/2015,0,13,Permanent,2
"Pearson, Randall",10259,5,3,3,93093,1,9,Data Analyst,MA,2747,09-05-1984,Male ,Married,US Citizen,12-01-2014,05-01-2016,performance,Voluntarily Terminated,4,python ,2000,IT/IS,Simon Roup,4,Employee Referral,Fully Meets,4.7,4,1/16/2016,0,19,Permanent,1
"Smith, Martin",10286,5,5,2,53564,1,19,Production Technician I,MA,2458,03-06-1988,Male ,Single,US Citizen,01-10-2011,12/28/2017,career change,Voluntarily Terminated,3,Equipment knowledge,1500,Production       ,Webster Butler,39,Google Search,Needs Improvement,3.54,5,04-06-2017,4,15,Permanent,3
"Pelletier, Ermine",10297,5,5,2,60270,1,20,Production Technician II,MA,2472,07-07-1989,Female,Married,US Citizen,07-05-2011,9/15/2015,unhappy,Voluntarily Terminated,3,Equipment knowledge,1500,Production       ,Amy Dunn,11,CareerBuilder,Needs Improvement,2.4,5,02-06-2015,5,2,contractor,4
"Perry, Shakira",10171,5,5,3,45998,1,19,Production Technician I,MA,2176,07-10-1986,Female,Single,US Citizen,05-02-2011,10/25/2015,medical issues,Voluntarily Terminated,2,Manufacturing,2500,Production       ,Amy Dunn,11,LinkedIn,Fully Meets,3.45,4,5/13/2014,0,5,contractor,1
"Peters, Lauren",10032,5,5,4,57954,1,20,Production Technician II,MA,1886,08-06-1986,Female,Married,US Citizen,05-02-2011,02-04-2013,more money,Voluntarily Terminated,3,Equipment knowledge,1500,Production       ,Ketsia Liebig,19,Indeed,Exceeds,4.2,5,01-10-2013,0,12,contractor,2
"Peterson, Ebonee  ",10130,5,5,3,74669,1,18,Production Manager,MA,2030,05-09-1977,Female,Married,US Citizen,10-25-2010,5/18/2016,Another position,Voluntarily Terminated,2,Manufacturing,2500,Production       ,Janet King,2,Indeed,Fully Meets,4.16,5,03-05-2015,0,6,Permanent,3
"Petingill, Shana  ",10217,1,5,3,74226,0,20,Production Technician II,MA,2050,03-10-1979,Female,Married,Eligible NonCitizen,04-02-2012,,N/A-StillEmployed,Active,3,Equipment knowledge,1500,Production       ,Brannon Miller,12,LinkedIn,Fully Meets,4.3,3,1/14/2019,0,14,Permanent,2
"Petrowsky, Thelma",10016,1,3,4,93554,0,9,Data Analyst,MA,1886,09-02-1984,Female,Married,US Citizen,11-10-2014,,N/A-StillEmployed,Active,4,SQL,1000,IT/IS,Simon Roup,4,Employee Referral,Exceeds,4.6,5,01-04-2019,0,16,Permanent,3
"Pham, Hong",10050,5,5,3,64724,1,19,Production Technician I,MA,2451,03-06-1988,Male ,Married,US Citizen,07-05-2011,11/30/2012,more money,Voluntarily Terminated,3,Equipment knowledge,1500,Production       ,Brannon Miller,12,Google Search,Fully Meets,5,3,2/20/2012,0,13,Permanent,3
"Pitt, Brad ",10164,1,5,3,47001,0,19,Production Technician I,MA,2451,11-10-1981,Male ,Single,US Citizen,11-05-2007,,N/A-StillEmployed,Active,3,Equipment knowledge,1500,Production       ,David Stanley,14,Google Search,Fully Meets,3.66,3,2/25/2019,0,15,Permanent,2
"Potts, Xana",10124,1,6,3,61844,0,3,Area Sales Manager,KY,40220,08-02-1988,Female,Married,US Citizen,01-09-2012,,N/A-StillEmployed,Active,4,customer relationship,2500,Sales,Lynn Daneault,21,Website,Fully Meets,4.2,5,02-01-2019,0,9,Permanent,1
"Power, Morissa",10187,5,5,3,46799,1,19,Production Technician I,MA,1742,10-01-1984,Female,Divorced,Eligible NonCitizen,05-02-2011,06-04-2018,Another position,Voluntarily Terminated,2,Manufacturing,2500,Production       ,Kissy Sullivan,20,Google Search,Fully Meets,3.17,4,04-02-2018,0,14,Permanent,3
"Punjabhi, Louis  ",10225,1,5,3,59472,0,19,Production Technician I,MA,2109,06-09-1961,Male ,Single,US Citizen,01-06-2014,,N/A-StillEmployed,Active,3,Equipment knowledge,1500,Production       ,Kelley Spirea,18,Employee Referral,Fully Meets,4.8,3,01-07-2019,0,14,Permanent,4
"Purinton, Janine",10262,5,5,3,46430,1,19,Production Technician I,MA,2474,09-02-1970,Female,Divorced,US Citizen,9-24-2012,6/18/2013,unhappy,Voluntarily Terminated,3,Equipment knowledge,1500,Production       ,Kissy Sullivan,20,Indeed,Fully Meets,4.5,5,04-02-2013,0,16,Permanent,1
"Quinn, Sean",10131,5,1,3,83363,1,23,Software Engineer,MA,2045,11-06-1984,Male ,Married,Eligible NonCitizen,2-21-2011,8/15/2015,career change,Voluntarily Terminated,3,Bigdata,2500,Software Engineering,Janet King,2,Diversity Job Fair,Fully Meets,4.15,4,4/19/2014,0,4,contractor,2
"Rachael, Maggie",10239,1,3,3,95920,0,4,BI Developer,MA,2110,05-12-1980,Female,Married,US Citizen,10-02-2016,,N/A-StillEmployed,Active,4,SQL,1000,IT/IS,Brian Champaigne,13,Indeed,Fully Meets,4.4,4,02-06-2019,0,10,contractor,3
"Rarrick, Quinn",10152,5,5,3,61729,1,19,Production Technician I,MA,2478,12-11-1984,Male ,Divorced,US Citizen,09-12-2011,04-07-2018,more money,Voluntarily Terminated,3,Equipment knowledge,1500,Production       ,Michael Albert,22,Indeed,Fully Meets,3.8,5,02-04-2018,0,19,contractor,4
"Ren, Kylo",10140,1,6,3,61809,0,3,Area Sales Manager,ID,83706,10-12-1954,Male ,Married,US Citizen,05-12-2014,,N/A-StillEmployed,Active,4,customer relationship,2500,Sales,John Smith,17,CareerBuilder,Fully Meets,3.98,3,1/28/2019,0,4,Permanent,2
"Rhoads, Thomas",10058,5,5,3,45115,1,19,Production Technician I,MA,2176,07-02-1982,Male ,Divorced,US Citizen,05-02-2011,1/15/2016,retiring,Voluntarily Terminated,3,Equipment knowledge,1500,Production       ,Elijiah Gray,16,LinkedIn,Fully Meets,5,4,3/30/2015,0,11,Permanent,3
"Rivera, Haley  ",10011,1,5,4,46738,0,19,Production Technician I,MA,2171,01-12-1973,Female,Married,US Citizen,11-28-2011,,N/A-StillEmployed,Active,3,Equipment knowledge,1500,Production       ,Webster Butler,,Google Search,Exceeds,4.36,5,02-11-2019,0,16,Permanent,3
"Roberson, May",10230,5,5,3,64971,1,20,Production Technician II,MA,1902,09-05-1981,Female,Divorced,Eligible NonCitizen,9-26-2011,10/22/2011,return to school,Voluntarily Terminated,2,Manufacturing,2500,Production       ,David Stanley,14,Google Search,Fully Meets,4.5,4,10/22/2011,0,10,Permanent,2
"Robertson, Peter",10224,5,5,3,55578,1,20,Production Technician II,MA,2138,07-03-1972,Male ,Married,US Citizen,07-05-2011,02-08-2012,Another position,Voluntarily Terminated,3,Equipment knowledge,1500,Production       ,Kissy Sullivan,20,Indeed,Fully Meets,4.2,5,01-06-2012,0,13,Permanent,1
"Robinson, Alain  ",10047,5,5,3,50428,1,19,Production Technician I,MA,1420,01-07-1974,Male ,Married,US Citizen,01-10-2011,1/26/2016,attendance,Voluntarily Terminated,2,Manufacturing,2500,Production       ,Amy Dunn,11,Indeed,Fully Meets,5,3,01-10-2015,0,11,contractor,3
"Robinson, Cherly",10285,4,5,2,61422,1,19,Production Technician I,MA,1460,01-07-1985,Female,Married,US Citizen,01-10-2011,5/17/2016,attendance,Terminated for Cause,3,Equipment knowledge,1500,Production       ,Ketsia Liebig,19,Indeed,Needs Improvement,3.6,3,04-05-2016,4,16,contractor,2
"Robinson, Elias",10020,1,5,4,63353,0,19,Production Technician I,MA,1730,01-10-1985,Male ,Widowed,US Citizen,07-08-2013,,N/A-StillEmployed,Active,2,Manufacturing,2500,Production       ,Brannon Miller,12,Employee Referral,Exceeds,3.6,5,02-11-2019,0,4,contractor,2
"Roby, Lori ",10162,1,3,3,89883,0,9,Data Analyst,MA,1886,10-11-1981,Female,Married,US Citizen,2-16-2015,,N/A-StillEmployed,Active,4,SQL,1000,IT/IS,Simon Roup,4,Employee Referral,Fully Meets,3.69,5,2/14/2019,0,15,Permanent,3
"Roehrich, Bianca",10149,5,3,3,120000,1,29,Principal Data Architect,MA,2703,05-09-1973,Female,Single,US Citizen,01-05-2015,11-10-2018,Another position,Voluntarily Terminated,4,SQL,1000,IT/IS,Simon Roup,4,LinkedIn,Fully Meets,3.88,3,2/13/2018,0,12,contractor,3
"Roper, Katie",10086,1,3,3,150290,0,7,Data Architect,MA,2056,11-01-1972,Female,Single,US Citizen,01-07-2017,,N/A-StillEmployed,Active,4,SQL,1000,IT/IS,Brian Champaigne,13,Indeed,Fully Meets,4.94,3,02-06-2019,0,17,Permanent,2
"Rose, Ashley  ",10054,1,5,3,60627,0,19,Production Technician I,MA,1886,12-05-1974,Female,Separated,US Citizen,01-06-2014,,N/A-StillEmployed,Active,3,Equipment knowledge,1500,Production       ,David Stanley,14,Website,Fully Meets,5,4,1/31/2019,0,8,Permanent,1
"Rossetti, Bruno",10065,5,5,3,53180,1,19,Production Technician I,MA,2155,03-07-1987,Male ,Single,US Citizen,04-04-2011,8/13/2018,Another position,Voluntarily Terminated,3,Equipment knowledge,1500,Production       ,Kissy Sullivan,20,Google Search,Fully Meets,5,5,07-02-2018,0,4,contractor,3
"Roup,Simon",10198,1,3,3,140920,0,13,IT Manager - DB,MA,2481,04-05-1973,Male ,Single,US Citizen,1-20-2013,,N/A-StillEmployed,Active,4,SQL,1000,IT/IS,Jennifer Zamora,5,Indeed,Fully Meets,3.6,5,2/18/2019,0,13,contractor,4
"Ruiz, Ricardo",10222,5,3,3,148999,1,13,IT Manager - DB,MA,1915,01-04-1964,Male ,Divorced,US Citizen,01-09-2012,11-04-2015,hours,Voluntarily Terminated,4,SQL,1000,IT/IS,Jennifer Zamora,5,Diversity Job Fair,Fully Meets,4.3,4,01-04-2015,0,8,contractor,1
"Saada, Adell",10126,1,4,3,86214,0,24,Software Engineer,MA,2132,07-03-1986,Female,Married,US Citizen,11-05-2012,,N/A-StillEmployed,Active,3,Bigdata,2500,Software Engineering,Alex Sweetwater,10,Indeed,Fully Meets,4.2,3,2/13/2019,0,2,contractor,2
"Saar-Beckles, Melinda",10295,2,5,2,47750,0,19,Production Technician I,MA,1801,06-06-1968,Female,Single,US Citizen,07-04-2016,,N/A-StillEmployed,Active,3,Equipment knowledge,1500,Production       ,Kelley Spirea,18,Diversity Job Fair,Needs Improvement,2.6,4,2/18/2019,5,4,Permanent,3
"Sadki, Nore  ",10260,5,5,3,46428,1,19,Production Technician I,MA,2148,12-01-1974,Male ,Single,US Citizen,01-05-2009,7/30/2018,relocation out of area,Voluntarily Terminated,2,Manufacturing,2500,Production       ,Michael Albert,22,Google Search,Fully Meets,4.6,5,02-05-2018,0,7,Permanent,2
"Sahoo, Adil",10233,1,5,3,57975,0,20,Production Technician II,MA,2062,04-12-1986,Male ,Married,US Citizen,8-30-2010,,N/A-StillEmployed,Active,3,Equipment knowledge,1500,Production       ,Kelley Spirea,18,CareerBuilder,Fully Meets,4.1,3,01-10-2019,0,13,Permanent,3
"Salter, Jason",10229,5,3,3,88527,1,9,Data Analyst ,MA,2452,12-06-1987,Male ,Divorced,US Citizen,01-05-2015,10/31/2015,hours,Voluntarily Terminated,4,SQL,1000,IT/IS,Simon Roup,4,LinkedIn,Fully Meets,4.2,3,4/20/2015,0,2,Permanent,3
"Sander, Kamrin",10169,1,5,3,56147,0,19,Production Technician I,MA,2154,07-10-1988,Female,Married,US Citizen,9-29-2014,,N/A-StillEmployed,Active,3,Equipment knowledge,1500,Production       ,Elijiah Gray,16,LinkedIn,Fully Meets,3.51,3,2/18/2019,0,2,Permanent,2
"Sewkumar, Nori",10071,3,5,3,50923,0,19,Production Technician I,MA,2191,03-10-1975,Female,Single,US Citizen,9-30-2013,,N/A-StillEmployed,Active,3,Equipment knowledge,1500,Production       ,Webster Butler,,Google Search,Fully Meets,5,5,02-06-2019,0,14,Permanent,1
"Shepard, Anita ",10179,1,3,3,50750,0,15,Network Engineer,MA,1773,04-03-1981,Female,Married,US Citizen,9-30-2014,,N/A-StillEmployed,Active,4,SQL,1000,IT/IS,Peter Monroe,7,LinkedIn,Fully Meets,3.31,3,01-07-2019,0,7,contractor,3
"Shields, Seffi",10091,1,5,3,52087,0,19,Production Technician I,MA,2149,08-03-1985,Female,Married,US Citizen,08-09-2013,,N/A-StillEmployed,Active,2,Manufacturing,2500,Production       ,Amy Dunn,11,LinkedIn,Fully Meets,4.81,4,2/15/2019,0,15,contractor,4
"Simard, Kramer",10178,1,3,3,87826,0,9,Data Analyst,MA,2110,02-08-1970,Male ,Married,US Citizen,01-05-2015,,N/A-StillEmployed,Active,4,SQL,1000,IT/IS,Simon Roup,4,Employee Referral,Fully Meets,3.32,3,1/14/2019,0,16,contractor,1
"Singh, Nan ",10039,1,1,3,51920,0,2,Administrative Assistant,MA,2330,05-09-1988,Female,Single,US Citizen,05-01-2015,,N/A-StillEmployed,Active,1,CAA,5000,Admin Offices,Brandon R. LeBlanc,1,Website,Fully Meets,5,3,1/15/2019,0,2,Permanent,2
"Sloan, Constance",10095,5,5,3,63878,1,20,Production Technician II,MA,1851,11-06-1987,Female,Single,US Citizen,10-12-2009,04-08-2015,maternity leave - did not return,Voluntarily Terminated,3,Equipment knowledge,1500,Production       ,Michael Albert,22,CareerBuilder,Fully Meets,4.68,4,04-02-2015,0,20,Permanent,3
"Smith, Joe",10027,1,5,4,60656,0,20,Production Technician II,MA,2045,10-08-1963,Male ,Single,US Citizen,9-29-2014,,N/A-StillEmployed,Active,2,Manufacturing,2500,Production       ,Elijiah Gray,16,Indeed,Exceeds,4.3,3,1/28/2019,0,4,Permanent,4
"Smith, John",10291,1,6,2,72992,0,21,Sales Manager,MA,1886,08-02-1984,Male ,Divorced,US Citizen,5-18-2014,,N/A-StillEmployed,Active,4,customer relationship,2500,Sales,Debra Houlihan,15,Diversity Job Fair,Needs Improvement,2.4,4,1/16/2019,2,16,Permanent,2
"Smith, Leigh Ann",10153,5,1,3,55000,1,2,Administrative Assistant,MA,1844,06-03-1987,Female,Married,US Citizen,09-12-2011,9/25/2013,career change,Voluntarily Terminated,1,CAA,5000,Admin Offices,Brandon R. LeBlanc,1,Diversity Job Fair,Fully Meets,3.8,4,8/15/2013,0,17,Permanent,3
"Smith, Sade",10157,1,5,3,58939,0,19,Production Technician I,MA,2130,02-02-1965,Female,Single,US Citizen,11-11-2013,,N/A-StillEmployed,Active,3,Equipment knowledge,1500,Production       ,Ketsia Liebig,19,Employee Referral,Fully Meets,3.73,3,1/24/2019,0,16,Permanent,3
"Soto, Julia ",10119,1,3,3,66593,0,14,IT Support,MA,2360,03-12-1973,Female,Married,US Citizen,06-10-2011,,N/A-StillEmployed,Active,4,SQL,1000,IT/IS,Eric Dougall,6,LinkedIn,Fully Meets,4.3,3,02-08-2019,0,19,Permanent,2
"Soze, Keyser",10180,2,3,3,87565,0,28,Sr. Network Engineer,MA,1545,02-09-1983,Male ,Married,US Citizen,6-30-2016,,N/A-StillEmployed,Active,4,python ,2000,IT/IS,Peter Monroe,7,LinkedIn,Fully Meets,3.27,4,1/14/2019,0,13,Permanent,1
"Sparks, Taylor  ",10302,1,5,1,64021,0,19,Production Technician I,MA,2093,07-10-1968,Female,Married,US Citizen,2-20-2012,,N/A-StillEmployed,Active,2,SQL,,Production       ,Brannon Miller,12,Indeed,PIP,2.4,2,2/25/2019,6,20,Permanent,3
"Spirea, Kelley",10090,1,5,3,65714,0,18,Production Manager,MA,2451,09-08-1975,Female,Married,US Citizen,10-02-2012,,N/A-StillEmployed,Active,3,Equipment knowledge,1500,Production       ,Janet King,2,LinkedIn,Fully Meets,4.83,5,2/14/2019,0,15,contractor,2
"Squatrito, Kristen",10030,5,5,4,62425,1,19,Production Technician I,MA,2359,03-12-1973,Female,Divorced,US Citizen,5-13-2013,6/29/2015,unhappy,Voluntarily Terminated,3,Equipment knowledge,1500,Production       ,David Stanley,14,LinkedIn,Exceeds,4.1,4,03-02-2015,0,16,contractor,2
"Stanford,Barbara  M",10278,1,5,3,47961,0,19,Production Technician I,MA,2050,08-06-1982,Female,Divorced,US Citizen,01-10-2011,,N/A-StillEmployed,Active,2,Manufacturing,2500,Production       ,Kissy Sullivan,20,Google Search,Fully Meets,4.1,4,02-07-2019,0,9,contractor,3
"Stansfield, Norman",10307,1,6,1,58273,0,3,Area Sales Manager,NV,89139,05-09-1974,Male ,Married,US Citizen,05-12-2014,,N/A-StillEmployed,Active,4,customer relationship,2500,Sales,Lynn Daneault,21,Website,PIP,1.81,2,1/17/2019,3,5,Permanent,3
"Steans, Tyrone  ",10147,1,1,3,63003,0,1,Accountant I,MA,2703,09-01-1986,Male ,Single,US Citizen,9-29-2014,,N/A-StillEmployed,Active,1,CAA,5000,Admin Offices,Brandon R. LeBlanc,1,Indeed,Fully Meets,3.9,5,1/18/2019,0,9,Permanent,2
"Stoica, Rick",10266,1,5,3,61355,0,19,Production Technician I,MA,2301,03-03-1985,Male ,Married,US Citizen,2-17-2014,,N/A-StillEmployed,Active,3,Equipment knowledge,1500,Production       ,Kelley Spirea,18,LinkedIn,Fully Meets,4.7,3,01-11-2019,0,4,Permanent,1
"Strong, Caitrin",10241,1,6,3,60120,0,3,Area Sales Manager,MT,59102,05-12-1989,Female,Married,US Citizen,9-27-2010,,N/A-StillEmployed,Active,4,customer relationship,2500,Sales,John Smith,17,Indeed,Fully Meets,4.1,4,1/31/2019,0,18,Permanent,3
"Sullivan, Kissy ",10158,1,5,3,63682,0,18,Production Manager,MA,1776,03-10-1978,Female,Married,US Citizen,01-08-2009,,N/A-StillEmployed,Active,3,Equipment knowledge,1500,Production       ,Janet King,2,Indeed,Fully Meets,3.73,4,1/24/2019,0,12,Permanent,4
"Sullivan, Timothy",10117,1,5,3,63025,0,19,Production Technician I,MA,2747,10-07-1982,Male ,Married,US Citizen,01-05-2015,,N/A-StillEmployed,Active,2,Manufacturing,2500,Production       ,Michael Albert,22,Google Search,Fully Meets,4.36,5,1/24/2019,0,10,contractor,1
"Sutwell, Barbara",10209,1,5,3,59238,0,19,Production Technician I,MA,2718,08-01-1968,Female,Single,Eligible NonCitizen,05-03-2012,,N/A-StillEmployed,Active,3,Equipment knowledge,1500,Production       ,Elijiah Gray,16,Indeed,Fully Meets,3.4,5,1/31/2019,0,13,contractor,2
"Szabo, Andrew",10024,1,4,4,92989,0,24,Software Engineer,MA,2140,05-06-1983,Male ,Single,US Citizen,07-07-2014,,N/A-StillEmployed,Active,3,Bigdata,2500,Software Engineering,Alex Sweetwater,10,LinkedIn,Exceeds,4.5,5,2/18/2019,0,1,contractor,3
"Tannen, Biff",10173,1,3,3,90100,0,4,BI Developer,MA,2134,10-03-1987,Male ,Married,US Citizen,4-20-2017,,N/A-StillEmployed,Active,4,SQL,1000,IT/IS,Brian Champaigne,13,Indeed,Fully Meets,3.4,3,01-02-2019,0,14,Permanent,2
"Tavares, Desiree  ",10221,5,5,3,60754,1,19,Production Technician I,MA,1801,04-03-1975,Female,Married,Non-Citizen,4-27-2009,04-01-2013,Another position,Voluntarily Terminated,2,SQL,,Production       ,Webster Butler,39,Diversity Job Fair,Fully Meets,4.5,5,2/15/2012,0,11,contractor,3
